X1	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X8	X9
sq17	40	347	1484	680	5448	1647	2570	100	298	165	28	29	791	76	257	245	168	767	524	3202	1242	6	25	12	405	59	520	94	212	203	63	3504	1593	92	4713	644	534	132	11	30	22	175	69	596	35	51	692	328	422	142	246	675	269	504	13	38	1	30	36	118	43	250	642	2546	10531	1582	209	7619	1	0	0	34	438
sq18	51	104	175	1	1	1	1	1565	564	160	447	196	1415	2910	3827	1093	3333	823	25	0	19	63	167	129	1065	2975	2918	3731	991	1908	2740	161	150	145	1	1	247	1662	340	28	472	1042	1973	1885	1294	2138	96	327	23	5	1	29	79	545	293	629	160	30	713	42	2273	74	2355	1	2	0	932	0	0	3	0	1879	1230
sq19	29	29	1797	93	6065	755	4243	57	929	118	34	7	893	74	171	441	220	1257	82	3169	98	3	5	7	100	16	403	60	260	157	22	1818	107	42	6329	88	934	80	7	90	13	65	51	486	44	35	412	42	251	266	1142	214	577	394	8	48	4	66	12	809	73	1818	427	5229	5054	2170	208	4054	2	0	0	37	692
sq20	286	2	22	0	2	2	3	465	586	600	832	362	2170	1680	1887	1055	840	457	8	6	5	254	272	260	1989	3538	2307	2498	728	796	1031	308	109	561	8	2	2070	1379	826	215	877	1110	2361	2355	1429	655	336	380	396	140	135	427	138	715	1427	643	684	178	1104	665	1505	784	2368	15	77	1	1880	1	1	1	0	647	1869
sq21	31	31	2	3	1	2	1	578	27	71	2200	1245	223	3939	2046	50	2574	13	19	0	0	90	887	112	244	7671	233	2936	42	51	2426	31	398	75	7	21	280	1685	1203	92	2203	169	3173	48	2382	1157	30	933	50	24	7	665	39	426	2257	2091	1660	32	1413	50	1981	8	875	4	28	0	88	23	1	0	0	1068	55
sq22	15	2433	144	869	191	665	56	1957	79	99	1925	1403	106	2024	2147	51	2169	56	954	135	250	17	810	9	44	1254	52	558	20	16	403	259	4616	43	835	2980	74	343	443	28	602	36	805	37	2081	593	191	3497	146	82	62	3073	127	857	300	1249	214	4	196	9	146	19	792	534	1811	304	73	2981	0	2	0	1093	24
sq23	51	31	3311	29	3260	137	801	25	576	155	9	5	359	11	71	351	62	1844	127	662	16	58	1	31	209	7	379	11	287	155	1	952	23	80	5093	67	709	45	9	454	11	127	3	807	21	12	432	19	768	2479	9243	352	331	98	15	15	6	300	10	1328	47	5675	198	3067	1204	3981	188	854	1	0	0	12	396
sq24	122	302	385	0	0	1	4	2552	848	544	1558	828	1748	4173	3673	867	2691	513	13	0	5	141	564	381	1091	3202	856	1161	96	212	233	255	250	566	6	8	50	832	819	70	926	1107	2061	593	2481	482	256	779	381	35	1	377	23	172	905	1337	262	25	941	26	918	11	322	1	0	1	1661	1	0	0	0	2451	1563
sq25	62	623	4916	60	563	22	40	204	618	584	149	61	1208	180	292	520	562	2428	242	25	34	18	47	27	199	54	487	79	252	224	41	7630	2108	241	4028	513	328	120	17	39	75	131	44	446	104	113	1785	422	2860	761	411	3160	301	775	32	229	21	21	59	29	101	114	765	296	1172	18	495	1292	0	0	0	110	709
sq26	18	536	168	495	801	889	299	711	260	177	1250	777	260	1060	1584	105	1247	124	419	442	804	14	429	16	181	1309	222	848	139	102	529	1575	3306	62	1506	2335	403	616	326	44	395	96	902	211	1333	703	309	2068	225	616	281	2996	196	766	261	847	105	22	299	69	324	296	1076	942	1528	513	99	1341	0	1	0	532	98
sq27	23	477	383	1071	4098	3462	2696	341	332	71	127	137	206	280	1058	107	780	376	556	6171	3851	32	62	38	177	274	129	195	118	48	189	945	535	25	1117	432	105	164	78	2	107	122	172	217	249	186	309	363	52	2	15	152	87	401	104	165	48	5	103	22	152	37	809	398	4498	186	65	3871	1	1	0	222	114
sq28	6	1497	44	1642	466	1548	132	613	42	26	375	229	99	2060	1985	110	4589	76	1427	252	764	5	262	7	34	2284	81	1298	41	37	2354	115	1244	12	241	518	354	604	212	7	625	19	1048	17	760	1635	27	720	33	14	15	898	159	858	305	986	316	9	425	32	542	45	1692	241	2370	40	60	1748	1	2	0	647	28
sq29	5	9	1153	1369	12635	2352	2397	7	38	18	2	0	46	3	1	7	5	418	176	4532	452	9	1	1	12	2	22	0	57	38	3	2244	20	16	8018	353	93	41	1	2	2	3	3	52	4	0	508	2	296	34	99	285	87	197	2	0	0	1	0	4	3	31	86	682	1744	434	20	2600	1	0	0	0	10
sq30	42	27	6	1	0	2	0	448	15	86	1239	628	142	2862	1838	15	1741	13	9	2	1	166	483	210	206	7722	151	2901	18	11	1618	8	57	102	1	1	282	1414	1199	124	1712	146	3388	26	1898	825	25	224	39	13	5	40	19	174	1903	1465	1249	26	1161	33	1836	10	504	1	11	0	88	2	0	1	0	907	33
sq31	9	168	1219	266	3241	1024	2261	184	453	61	61	21	301	135	458	178	251	677	295	1589	246	7	17	7	78	41	280	128	209	125	78	1204	742	26	4158	458	736	84	32	97	26	46	42	294	128	84	227	320	179	215	870	396	329	448	19	53	1	61	31	306	42	1424	502	2342	5723	1202	137	4420	0	0	0	87	166
sq32	11	1286	153	1271	576	1528	252	666	210	60	479	402	150	733	2295	83	1504	93	1200	424	1070	5	241	3	39	369	78	397	34	29	214	446	1555	11	1396	3817	305	346	86	16	147	42	205	142	1002	532	169	1002	74	53	121	2845	241	757	50	350	32	6	141	16	266	52	1005	251	2853	258	30	4314	1	1	0	358	77
sq33	45	13	433	5	990	40	189	213	760	124	136	88	849	269	493	319	493	834	59	242	8	31	50	24	330	99	650	128	257	218	72	6955	510	75	4083	231	849	160	14	148	61	237	107	2603	218	218	2362	182	938	1328	848	131	314	362	26	174	20	69	57	286	126	1456	671	2813	1431	50	365	336	0	1	0	233	810
sq34	22	0	696	4	1263	21	212	2	2589	47	4	0	1077	1	0	591	0	2483	93	142	33	6	0	3	87	1	1574	0	1872	1229	0	1053	1	21	219	5	1797	113	1	33	4	115	1	6337	1	0	421	6	24	12	38	13	385	407	5	0	0	46	8	566	56	4642	1639	2418	2224	251	309	77	2	0	0	2	1865
sq35	4	1619	75	1878	450	1264	145	432	71	9	165	140	90	1471	1721	82	4157	74	1470	221	572	7	122	5	19	1809	97	1592	40	53	2101	146	1132	5	171	334	497	485	136	7	316	19	873	48	566	1644	20	559	9	5	8	285	155	667	126	678	111	10	273	61	445	100	1649	274	2827	18	31	1811	0	0	0	492	29
sq36	8	482	89	117	40	34	3	816	231	159	1404	704	276	2762	2755	102	2723	58	328	11	12	26	541	22	202	2509	249	1596	60	53	770	267	1115	32	180	209	633	742	376	22	686	109	1920	114	2168	825	91	1063	70	72	76	1658	109	648	381	1162	196	10	581	57	777	30	1004	52	441	2	116	240	0	0	0	819	69
sq37	2	608	32	853	48	174	6	1120	99	12	548	329	59	2448	2752	47	3644	37	631	20	244	0	167	6	50	2886	99	2202	65	52	1663	33	980	8	11	43	227	1081	342	15	465	54	1720	99	1468	1490	13	760	6	12	6	114	65	559	270	866	169	13	594	46	1214	45	1721	34	323	5	30	258	1	1	0	1247	29
sq38	8	1476	115	849	328	172	66	664	289	45	393	251	159	1672	1971	161	4606	48	2037	48	140	6	228	6	58	667	145	603	56	66	823	331	1541	12	250	417	190	292	144	30	447	50	530	87	1201	1311	58	834	50	113	70	1201	119	775	96	483	66	22	345	146	520	165	2043	294	1943	64	55	760	0	0	0	470	55
sq39	8	759	176	2124	1277	2513	609	461	106	28	166	86	75	613	1110	36	1229	106	939	1246	1658	4	55	6	32	448	84	615	57	49	623	547	2213	6	693	756	288	339	81	8	103	22	276	116	367	794	118	1060	51	36	34	467	150	635	58	242	35	7	119	26	216	112	1213	488	2283	188	28	3473	1	1	0	223	39
sq40	4	2736	130	2438	600	3847	342	853	63	8	168	94	25	448	1686	20	933	59	1563	556	1939	4	83	17	9	212	15	352	12	8	257	119	1642	6	419	1945	129	132	56	8	68	14	160	18	304	165	25	557	56	78	63	1614	151	741	59	189	29	5	61	16	122	43	956	546	1333	304	12	3053	0	0	0	302	6
sq41	11	8	2	1	0	2	0	754	107	109	1153	760	234	3068	2200	111	2055	23	8	0	0	11	470	6	36	2132	87	2210	26	13	1680	22	173	12	2	2	281	998	590	15	711	43	1392	79	2478	1199	43	394	44	10	7	262	69	387	321	1441	243	7	555	17	1079	13	641	3	23	0	79	1	0	0	0	2214	143
sq42	10	33	4	3	1	8	0	729	24	47	1766	1047	92	2092	1340	15	1813	7	18	0	2	11	689	19	36	2957	36	1135	12	13	929	59	592	27	5	42	62	804	803	12	1250	24	1314	19	1479	452	18	1279	35	20	13	1318	94	704	2278	1274	1540	3	551	1	583	3	421	1	23	2	44	12	0	0	0	861	24
sq43	39	1011	4247	10	3	1	0	793	593	273	304	125	688	713	647	554	885	4417	186	2	52	51	62	67	260	732	694	449	358	448	194	1559	980	170	21	28	28	328	164	33	209	333	373	719	480	176	1317	440	1644	176	7	551	51	324	141	299	81	18	204	8	441	20	827	1	24	0	513	0	0	2	0	448	406
sq44	15	27	2	3	1	2	0	611	26	37	318	174	119	2040	2059	33	2592	18	24	1	4	54	133	75	117	3411	160	2313	70	54	3688	14	146	55	2	0	217	1110	345	57	613	68	1744	58	868	1470	14	225	26	7	1	106	64	482	541	794	422	17	647	33	1241	15	1727	1	9	1	39	3	0	0	0	823	28
sq45	5	42	1	2	0	2	0	828	38	40	649	357	84	2510	2306	64	2636	13	26	0	0	16	250	32	67	3272	116	1919	30	32	2136	4	46	24	2	1	223	944	405	26	669	41	1606	50	1311	1245	2	125	8	0	0	24	67	367	496	1092	311	11	621	39	1061	17	1010	0	5	0	44	2	0	0	0	1106	21
