X1	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X8	X9
sq533	0	0	0	0	0	0	0	10	0	2	66	19	2	33	17	0	21	0	0	0	0	3	32	4	5	61	1	22	0	0	5	1	9	3	0	0	7	10	85	13	79	1	48	0	41	2	2	29	3	0	1	6	3	23	242	31	121	1	15	1	4	2	6	0	0	0	1	0	0	0	0	10	0
sq534	6	0	1	0	0	0	0	7	7	31	34	18	53	46	32	12	40	3	0	0	0	3	17	9	15	64	36	10	16	14	7	46	20	21	0	0	1	8	9	2	23	12	21	17	31	7	45	31	85	0	0	49	2	7	18	15	12	1	17	0	23	0	16	0	0	0	22	0	0	0	0	23	33
sq535	28	0	0	0	0	0	0	0	4	54	0	6	58	0	1	11	0	6	0	0	0	38	2	21	71	0	63	2	8	8	0	0	0	75	0	0	40	10	0	103	18	75	1	33	0	0	1	0	1	11	7	0	0	0	16	1	6	67	11	134	17	4	3	0	0	0	39	0	0	0	0	1	32
sq536	0	4	0	6	16	21	5	18	41	2	2	0	43	32	48	18	76	13	0	3	9	1	0	2	10	5	37	10	20	13	5	1	0	3	0	0	62	15	0	6	0	8	3	38	13	18	1	0	0	0	0	0	0	2	0	16	1	9	4	193	117	31	13	13	0	0	15	1	0	0	0	31	13
sq537	0	8	0	0	0	1	0	13	4	0	24	19	5	103	51	1	93	0	1	0	0	0	11	0	5	127	1	46	0	0	48	0	2	1	0	0	13	35	18	1	53	0	43	3	61	41	0	7	0	1	0	3	1	12	34	47	33	0	18	0	31	0	28	0	2	0	5	0	0	0	0	29	1
sq538	0	4	20	19	19	11	8	6	7	3	2	0	11	5	11	1	6	5	18	4	5	0	1	0	3	4	13	6	6	4	2	29	44	1	124	100	10	10	0	0	3	3	8	10	6	11	20	23	9	2	7	52	3	15	1	3	0	0	2	1	4	1	17	13	127	49	1	163	0	0	0	5	3
sq539	0	1	0	0	2	0	0	1	8	3	0	0	28	6	3	33	9	28	1	0	0	3	0	4	26	2	50	4	61	74	2	1	0	15	0	0	43	13	0	35	0	12	0	66	0	8	3	1	3	12	2	0	18	18	0	1	0	28	1	89	5	293	40	4	2	0	9	0	0	0	0	1	12
sq540	1	0	0	0	0	0	0	4	0	4	25	6	6	63	51	1	51	0	2	0	0	0	5	2	6	200	2	86	1	1	49	0	2	4	0	0	5	37	17	2	40	5	104	1	35	25	2	1	0	0	0	1	2	3	40	29	31	1	40	1	48	0	15	0	1	0	3	1	0	0	0	17	1
sq541	11	0	0	0	0	0	0	0	0	25	0	0	9	0	0	1	0	1	0	0	0	131	0	104	15	0	6	0	2	0	0	5	0	31	2	0	3	0	0	445	15	16	0	8	1	1	18	0	12	49	3	2	3	0	63	0	17	29	1	20	3	7	1	0	0	0	16	0	0	0	0	0	3
sq542	0	0	0	5	12	13	4	0	5	0	0	0	8	8	9	3	12	4	1	2	2	5	0	1	11	0	116	16	55	35	10	19	18	4	4	1	439	15	0	5	0	1	0	18	0	5	0	0	0	0	0	0	0	1	3	0	2	16	2	45	7	30	16	52	4	11	0	15	0	0	0	0	6
sq543	4	0	0	0	0	0	0	0	0	17	0	1	31	0	0	7	0	2	0	0	0	31	0	23	95	0	48	0	7	3	0	0	0	22	0	0	49	6	0	282	6	80	1	21	2	0	1	0	0	0	3	0	0	1	10	0	7	99	4	165	4	9	0	0	0	0	24	0	1	0	0	0	8
sq544	4	19	1	0	3	3	0	37	1	3	35	20	6	78	67	3	80	1	1	1	1	0	12	1	5	48	3	37	0	1	19	10	63	0	7	9	6	9	18	0	26	3	34	1	40	14	5	39	7	4	3	78	10	34	17	39	17	1	2	0	21	0	16	1	3	0	1	5	0	0	0	39	2
sq545	5	0	2	0	0	0	3	0	8	16	0	0	31	0	1	11	1	12	0	0	0	5	0	8	41	1	63	3	15	10	5	79	2	21	13	1	89	5	0	65	7	34	0	19	1	0	14	5	17	136	21	3	9	4	14	0	6	34	2	38	0	103	13	25	12	0	23	3	0	0	0	0	10
sq546	1	0	0	0	0	0	0	0	0	8	64	40	4	33	3	1	11	0	0	0	0	7	29	8	1	17	11	9	0	0	5	3	42	5	2	1	0	6	50	2	81	1	13	0	25	4	21	158	1	1	2	57	3	25	130	33	114	0	15	0	4	0	9	1	1	0	3	2	0	0	0	1	0
sq547	2	0	0	0	0	0	0	0	0	11	26	43	9	30	36	0	7	0	0	0	0	6	29	9	22	124	8	44	1	0	3	5	10	5	1	4	28	23	46	20	38	11	86	4	57	3	7	27	11	6	0	61	6	5	81	13	14	5	29	2	24	0	7	0	0	0	2	0	0	0	0	6	1
sq548	1	0	0	0	0	0	0	6	3	0	7	2	4	48	48	3	73	0	0	0	0	0	1	3	5	56	4	115	8	9	207	0	22	0	0	0	5	37	1	0	6	2	28	14	13	75	4	26	3	3	0	18	3	21	4	9	5	1	10	0	65	0	46	0	0	0	1	0	0	0	0	26	3
sq549	0	0	0	0	0	0	0	0	0	0	40	55	0	3	3	0	0	0	0	0	0	1	48	5	0	5	0	3	0	3	0	0	0	2	0	0	0	0	69	6	90	0	3	0	15	1	0	49	0	0	0	4	6	7	322	9	302	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
sq550	0	0	0	0	0	0	0	6	0	1	43	35	3	38	6	0	19	0	0	0	0	2	30	2	0	110	1	29	4	0	16	1	9	1	0	0	0	12	86	0	75	0	49	1	57	3	1	51	0	2	0	11	0	8	157	30	104	0	16	0	16	0	4	0	0	0	1	0	0	0	0	7	0
sq551	1	4	0	1	0	2	0	11	0	0	16	17	7	98	49	2	86	1	4	1	0	0	16	2	0	94	0	47	1	1	67	0	10	2	1	1	9	13	23	0	55	2	54	0	31	45	0	12	2	0	1	14	7	12	44	42	36	0	21	1	15	1	37	0	1	0	5	1	0	0	0	16	1
sq552	0	69	10	91	5	64	7	22	5	7	22	18	6	17	47	0	36	1	60	5	29	5	6	7	6	12	4	10	1	5	17	4	63	6	9	18	0	5	5	6	5	5	6	1	30	6	1	38	0	2	0	18	1	20	9	8	4	0	4	0	4	2	40	6	41	3	5	46	0	0	0	20	3
sq553	12	0	0	0	0	0	0	0	0	11	4	13	2	0	1	0	0	1	0	0	0	182	12	198	3	2	2	0	0	1	0	15	0	27	0	0	0	0	11	24	59	0	0	2	4	0	52	11	18	3	6	4	1	8	191	2	146	0	0	0	1	0	2	0	0	0	6	0	0	0	0	0	0
sq554	2	0	0	0	0	0	1	0	3	14	0	0	133	0	0	2	0	1	0	0	0	1	0	4	11	0	32	0	9	4	0	13	0	11	6	0	0	5	0	14	4	16	0	9	0	0	27	0	271	324	4	3	3	9	0	0	0	3	1	0	2	2	1	1	0	9	60	0	0	0	0	0	14
sq555	22	0	0	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0	0	0	0	287	4	268	1	0	0	0	0	0	1	0	0	50	0	0	0	0	0	19	33	0	0	0	0	0	4	0	2	0	0	0	0	1	214	0	100	0	1	0	0	0	3	0	0	0	5	0	0	0	0	0	0
sq556	8	0	0	0	0	0	0	0	8	23	0	0	50	0	2	19	0	13	0	0	0	2	0	8	99	0	174	1	55	65	0	0	0	22	0	0	50	18	0	7	7	78	0	123	0	0	4	0	8	2	0	0	3	4	3	0	1	13	21	25	36	2	19	0	0	0	19	0	0	0	0	0	28
sq557	1	0	0	0	0	0	0	20	1	2	19	6	5	84	69	4	60	0	0	0	0	0	8	0	2	82	2	95	2	0	105	0	0	0	0	0	8	44	7	0	17	1	35	5	61	51	1	4	0	0	0	1	0	12	4	34	0	0	22	0	43	1	39	0	0	0	0	0	0	0	0	58	1
sq558	0	19	3	35	25	18	4	14	4	2	0	0	5	7	62	1	53	5	33	10	50	2	0	0	7	21	5	48	8	2	52	17	107	0	9	11	9	8	2	0	3	1	14	14	7	33	4	22	2	0	0	5	5	28	1	2	1	0	2	0	22	4	127	5	14	1	0	20	0	0	0	16	5
sq559	8	0	0	0	0	0	0	0	0	16	0	2	18	0	0	6	0	7	0	0	0	20	0	18	88	0	67	0	11	6	0	0	0	13	0	0	30	3	0	154	3	64	0	35	0	0	0	0	2	4	1	0	1	1	4	0	4	125	7	226	6	24	1	0	0	0	30	0	0	0	0	0	10
sq560	2	9	1	3	4	14	2	7	2	0	16	14	3	73	44	12	100	1	4	3	1	0	10	3	2	72	1	32	2	0	54	1	25	2	9	7	4	16	21	1	19	0	31	0	22	33	3	14	2	1	1	68	1	19	25	46	15	0	11	1	19	0	40	3	20	0	4	13	0	0	0	26	1
sq561	0	11	1	8	1	5	1	10	1	2	13	33	3	69	45	4	110	1	8	1	2	0	19	1	1	90	3	39	0	0	58	1	12	1	1	7	12	16	5	0	39	0	24	0	40	36	2	18	0	0	0	17	4	13	29	52	25	0	24	0	24	0	33	1	12	0	3	7	0	0	0	15	1
sq562	9	0	0	0	0	0	0	0	0	15	1	2	31	0	4	7	3	7	0	1	0	25	0	17	84	3	108	5	122	74	1	2	0	16	0	0	78	22	0	13	1	35	2	81	0	2	8	0	3	1	1	4	7	8	4	0	4	27	2	57	12	57	28	0	0	0	8	0	0	0	0	0	10
sq563	2	0	0	0	0	0	0	0	0	3	8	40	0	0	1	0	0	0	0	0	0	26	28	138	0	1	0	0	0	0	0	0	0	16	0	0	0	1	65	0	86	0	0	1	17	1	3	13	1	0	0	1	0	3	319	13	210	0	1	0	0	0	2	0	0	0	4	0	0	0	0	1	0
sq564	0	21	2	13	4	16	1	22	1	1	24	4	8	74	53	5	120	1	21	2	15	0	4	0	0	63	0	24	0	0	48	1	26	1	6	15	15	12	9	0	14	1	26	0	19	41	0	16	2	0	1	17	3	19	8	39	8	0	21	0	15	1	49	3	20	0	1	16	0	0	0	33	0
sq565	0	0	0	2	0	0	0	7	0	2	32	28	7	56	26	0	22	0	0	0	0	2	14	0	8	132	1	40	1	0	15	2	35	1	2	3	8	24	27	2	25	2	67	4	53	9	3	67	3	2	8	65	4	11	47	22	21	0	28	0	17	1	13	0	5	0	0	8	0	0	0	20	0
sq566	3	0	0	0	0	0	0	1	0	2	42	46	1	12	2	0	1	0	0	0	0	3	32	5	0	9	0	7	0	0	4	1	8	2	0	0	0	2	52	2	99	0	3	0	26	3	0	54	0	0	0	8	1	10	300	30	219	0	1	0	0	0	5	0	1	0	1	1	0	0	0	1	0
sq567	0	0	0	0	0	0	0	3	0	5	31	22	8	50	33	2	19	0	0	0	0	3	10	5	19	192	12	55	0	0	4	0	0	1	0	0	22	36	26	5	40	10	66	4	33	13	1	3	0	0	0	0	1	2	82	36	44	0	43	1	34	1	2	0	0	0	5	0	0	0	0	13	2
sq568	15	0	0	0	0	0	0	0	8	11	0	0	35	1	0	3	0	4	0	0	1	26	0	13	63	0	43	0	16	8	0	0	0	19	0	0	104	3	0	153	1	44	0	50	0	1	2	0	1	11	7	0	3	1	7	0	4	116	2	147	3	35	1	1	0	0	27	0	0	0	0	0	7
sq569	1	0	0	0	0	0	0	14	1	2	38	26	9	69	43	1	25	2	0	0	0	0	11	0	8	159	8	56	1	1	33	2	4	1	0	0	9	33	17	0	26	5	93	4	56	14	4	15	2	0	0	10	0	7	26	29	10	3	33	0	32	0	22	0	0	0	6	0	0	0	0	24	0
sq570	0	0	0	0	0	0	0	0	4	2	0	0	16	0	0	9	0	9	0	0	0	0	0	0	35	0	177	0	123	103	2	1	0	0	0	0	44	25	0	1	0	45	0	216	0	1	3	0	0	0	0	0	6	7	0	0	0	8	5	23	38	17	46	0	0	0	7	0	0	0	0	0	21
sq571	24	0	0	0	0	0	0	0	0	51	1	0	13	0	0	0	0	0	0	0	0	75	0	81	20	0	12	0	0	0	0	0	0	95	0	0	7	3	0	411	12	15	0	2	0	0	2	0	0	7	3	0	2	1	28	0	17	36	1	36	0	2	0	0	0	0	32	0	0	0	0	0	1
sq572	4	0	0	0	0	0	0	2	1	6	47	47	0	27	17	1	7	0	0	0	0	5	20	7	2	90	0	25	0	0	8	3	28	0	0	0	0	21	46	2	68	6	45	0	43	6	17	96	20	1	0	41	4	12	90	20	59	0	23	0	11	0	3	0	0	0	3	0	0	0	0	5	0
sq573	0	0	2	0	127	2	25	0	0	0	0	0	2	0	0	7	0	7	1	19	0	0	0	1	1	0	13	0	15	9	0	48	0	0	28	3	26	2	0	1	0	0	2	28	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	44	5	111	26	290	113	10	0	14	0	0	0	0	0
sq574	5	0	0	0	0	0	1	0	16	16	0	0	72	0	0	27	0	9	0	0	0	6	0	2	123	0	92	2	7	15	0	1	0	5	0	0	26	17	0	28	4	161	0	46	0	0	0	0	4	4	3	1	0	1	1	0	1	42	16	68	29	9	1	0	0	0	64	0	0	0	0	0	56
sq575	0	1	0	0	0	0	0	16	2	6	23	12	6	89	72	3	71	1	0	0	0	0	10	0	0	78	1	74	0	1	80	1	2	0	0	0	10	36	12	0	18	1	39	2	45	47	1	2	0	0	0	0	1	19	10	40	2	0	11	0	40	2	30	0	0	0	0	0	0	0	0	62	2
sq576	0	0	0	0	0	0	0	6	1	3	28	30	4	86	41	0	91	0	1	0	0	2	17	0	2	126	1	45	1	0	43	3	3	3	0	0	10	23	7	2	39	2	47	0	39	34	0	19	2	0	2	8	8	9	41	49	27	0	26	1	18	2	11	0	1	0	0	1	0	0	0	15	0
sq577	0	12	0	42	10	81	11	8	0	1	4	3	3	40	44	3	54	0	26	15	36	0	5	0	2	62	1	14	0	0	29	6	18	0	19	22	4	7	0	0	10	0	13	0	17	26	1	19	2	2	1	74	5	20	7	24	6	0	4	2	10	1	42	5	38	3	2	52	0	0	0	10	0
sq578	0	1	0	2	1	0	0	6	2	1	16	22	7	28	12	4	47	2	4	0	1	9	22	8	2	95	1	35	4	0	34	2	5	3	0	0	9	15	27	2	89	0	40	2	31	21	1	7	0	1	0	6	4	15	133	35	103	0	14	0	12	0	11	0	2	0	2	0	0	0	0	15	2
sq579	3	1	0	0	0	0	0	14	2	10	36	25	11	73	36	3	42	0	0	0	0	0	19	0	1	78	1	62	1	0	39	1	10	4	3	2	5	27	27	0	21	3	38	3	64	36	5	27	5	1	0	37	2	20	9	44	6	0	17	0	24	0	12	0	5	0	4	0	0	0	0	49	1
sq580	7	0	0	0	0	0	0	0	1	16	0	0	20	0	1	11	0	3	0	0	0	13	0	20	118	0	152	1	40	52	1	0	0	15	0	0	13	29	0	49	11	91	0	86	0	0	3	0	0	2	0	0	0	1	30	0	13	19	14	36	45	1	13	0	1	0	24	0	0	0	0	0	15
sq581	0	0	0	0	0	0	0	15	8	8	66	26	8	53	40	1	29	3	1	0	0	3	19	0	2	101	4	28	0	0	4	4	19	1	0	1	13	26	36	0	40	0	65	0	88	3	0	41	7	1	2	20	0	5	30	45	12	0	20	0	23	0	2	0	1	0	7	1	0	0	0	30	3
sq582	2	0	0	0	0	0	0	0	0	4	43	84	0	2	0	0	0	0	0	0	0	7	49	16	0	6	0	0	0	0	0	0	1	10	0	0	0	0	41	3	38	0	4	0	25	1	2	18	0	0	0	1	0	2	432	5	162	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1
sq583	0	18	2	179	46	202	11	2	4	0	0	0	1	2	0	0	0	2	26	30	123	0	0	2	0	0	0	1	1	1	3	8	42	0	13	18	5	3	0	0	0	0	0	0	0	0	1	2	2	0	0	14	0	7	0	0	0	0	0	0	1	1	14	1	22	1	0	150	0	0	0	0	1
sq584	0	11	2	26	15	16	4	19	6	1	11	2	7	22	65	1	43	1	25	9	14	2	3	1	2	28	4	42	2	2	33	5	21	0	3	8	16	19	6	0	3	1	19	2	23	39	1	10	0	1	0	0	14	40	3	13	1	0	6	0	18	3	140	20	62	6	0	25	0	0	0	15	0
sq585	1	0	2	0	0	0	0	0	4	7	0	2	36	0	3	13	2	8	0	0	0	6	0	6	45	0	114	4	35	27	3	1	0	21	0	0	52	13	0	49	8	60	3	108	0	2	0	0	0	0	0	0	0	4	8	2	1	35	6	130	16	74	18	0	0	0	11	0	0	0	0	0	20
sq586	11	0	1	0	0	0	0	0	6	11	0	0	38	0	0	8	0	4	0	0	0	7	0	2	70	0	57	0	15	6	0	0	0	11	0	0	114	2	0	82	1	95	0	48	0	0	4	0	1	3	11	0	4	0	8	0	3	69	8	155	10	54	2	0	0	0	12	0	0	0	0	0	21
sq587	9	0	1	0	0	0	0	1	7	57	3	5	35	0	1	6	3	7	0	0	0	41	4	76	44	3	97	0	34	29	3	25	1	50	0	0	28	9	0	23	12	22	1	16	0	3	25	4	27	8	11	39	7	12	41	3	31	2	1	6	7	4	19	1	1	0	34	0	0	0	0	0	14
sq588	7	0	0	0	0	0	0	0	0	9	20	59	3	1	0	0	0	0	0	0	0	19	62	20	0	7	0	2	0	0	2	0	1	20	0	0	0	0	27	1	78	0	4	0	14	1	1	8	0	0	0	0	0	5	286	17	266	0	1	0	4	0	0	0	0	0	7	0	0	0	0	0	0
sq589	1	0	0	0	0	0	0	7	0	2	17	24	5	42	29	1	18	0	0	0	0	5	3	1	6	147	9	64	1	0	12	0	7	2	0	0	12	17	31	1	37	4	129	1	37	7	1	12	0	0	1	13	0	8	54	31	44	3	34	0	30	0	12	0	0	0	6	0	0	0	0	21	0
sq590	1	0	0	0	0	0	0	0	0	2	46	58	1	11	3	0	2	0	0	0	0	6	39	8	0	15	0	3	0	0	1	1	3	3	0	0	0	2	75	0	115	0	4	0	28	2	1	21	0	0	1	0	2	9	268	18	189	0	3	1	3	0	3	0	0	0	0	0	0	0	0	1	0
sq591	0	1	0	0	0	0	0	3	0	14	62	74	0	22	6	0	6	0	0	0	0	4	23	8	4	48	1	12	0	0	3	9	26	0	2	1	4	2	42	0	63	3	12	0	43	4	11	82	3	0	0	51	3	15	134	25	82	1	7	0	9	0	7	0	3	0	1	0	0	0	0	9	0
sq592	5	0	0	0	0	0	0	0	3	16	0	0	32	0	0	10	0	2	0	0	0	17	0	18	54	0	52	0	5	8	0	0	0	13	0	0	55	2	0	274	1	47	0	9	0	0	5	0	8	29	5	0	1	0	5	1	0	78	3	97	5	21	1	0	0	0	47	0	0	0	0	0	14
sq593	0	19	5	25	14	19	6	10	2	0	0	0	1	3	14	0	17	3	15	7	21	0	0	0	0	2	3	1	2	1	7	16	116	0	53	94	1	3	0	0	0	0	0	5	2	7	23	122	10	6	2	65	6	21	0	2	0	0	0	0	0	3	17	8	49	4	0	102	0	1	0	1	1
sq594	3	0	0	0	0	0	0	5	12	11	1	0	83	6	10	14	14	7	0	0	0	5	0	6	86	21	95	4	21	19	2	1	0	14	0	0	29	31	4	5	11	120	9	90	1	2	3	0	10	0	0	1	3	4	8	2	1	6	23	5	41	0	13	0	0	0	30	0	0	0	0	1	42
sq595	0	0	0	0	1	0	0	4	0	2	59	45	1	43	25	0	16	0	2	0	0	5	21	2	0	73	1	19	0	0	10	0	14	3	0	1	9	12	28	6	59	4	43	0	37	1	1	60	3	0	5	34	0	7	130	35	73	0	13	2	7	0	5	0	4	0	1	0	0	0	0	7	1
sq596	13	0	0	0	0	0	0	0	5	39	0	0	33	0	0	12	0	2	0	0	0	13	0	8	61	0	47	0	11	9	0	2	0	33	0	0	31	2	0	175	4	55	0	48	0	0	7	0	6	15	4	1	5	0	6	0	3	74	7	95	7	27	2	0	0	0	39	0	0	0	0	0	32
sq597	6	4	24	0	3	0	0	9	53	25	3	2	111	8	30	59	62	41	2	1	0	0	2	3	12	2	73	5	33	27	1	16	5	15	3	0	24	9	1	3	6	4	3	36	5	8	8	2	2	1	1	2	13	13	2	9	0	2	2	3	15	8	37	1	1	0	21	2	0	0	0	3	46
sq598	1	0	0	0	1	0	0	8	8	3	3	3	25	18	57	3	44	3	0	0	0	2	0	7	40	43	69	64	36	6	55	1	1	0	0	0	30	23	7	0	10	33	30	51	14	25	3	1	0	0	0	0	2	14	14	4	2	0	17	5	37	7	72	0	0	0	2	0	0	0	0	17	11
sq599	0	0	0	1	1	1	0	8	4	0	1	6	22	22	78	2	49	4	2	0	0	1	0	1	22	61	32	64	15	7	41	1	4	0	0	1	35	41	8	0	7	12	40	27	12	26	0	0	0	1	0	0	6	31	9	9	0	1	18	9	39	10	102	3	21	0	2	1	0	0	0	7	4
sq600	0	1	0	0	0	0	0	16	1	0	15	6	11	86	42	1	52	2	1	0	0	0	4	0	1	126	4	96	2	1	72	0	4	0	0	0	5	36	17	0	24	2	38	1	46	24	0	0	0	0	0	1	2	6	4	41	10	3	11	0	31	1	21	0	0	0	2	0	0	0	0	60	1
sq601	0	0	0	1	0	0	1	11	0	4	25	6	8	89	24	3	66	0	0	0	0	3	11	4	9	136	8	46	3	3	64	0	0	2	0	0	6	21	23	3	44	7	47	0	25	11	0	4	3	0	1	2	1	3	29	32	31	1	31	1	25	1	15	0	0	0	4	0	0	0	0	24	0
sq602	23	0	1	0	1	0	0	0	7	32	1	7	27	2	0	1	0	1	0	0	0	68	3	20	52	2	15	1	1	1	0	1	0	8	0	1	42	1	5	145	15	27	4	17	6	0	19	2	7	14	47	5	8	2	22	1	8	72	4	112	2	24	2	3	1	5	6	2	0	0	0	0	12
sq603	13	0	0	0	0	0	0	0	4	58	13	18	34	2	1	2	3	2	0	0	0	53	3	19	59	4	34	6	8	7	1	14	1	20	0	0	32	5	6	75	17	17	3	21	10	1	29	1	22	34	32	25	4	9	56	5	14	26	8	22	7	14	7	0	6	0	21	0	0	0	0	4	4
sq604	1	0	0	0	0	0	0	10	0	0	35	8	4	76	48	0	43	0	0	0	0	1	12	1	2	168	1	47	0	0	21	0	3	1	0	0	3	42	31	1	36	2	68	0	41	12	0	8	0	1	0	1	0	1	37	36	20	0	23	0	34	1	8	0	0	0	1	0	0	0	0	20	2
sq605	0	9	1	2	2	0	0	12	3	1	12	3	3	59	51	2	137	0	4	0	4	0	2	0	1	68	8	55	2	1	90	1	4	0	0	0	36	23	4	1	17	2	28	1	20	67	0	1	0	0	0	1	8	11	13	24	3	2	19	0	15	2	50	0	8	0	1	2	0	0	0	15	0
sq606	0	0	0	0	0	0	0	0	0	8	17	37	1	16	13	0	5	0	0	0	0	11	14	5	5	78	2	30	1	1	2	0	0	2	0	0	7	8	75	2	40	3	52	1	44	1	2	10	0	1	0	2	1	1	296	11	71	1	15	0	12	0	2	0	0	0	1	0	0	0	0	2	1
sq607	0	26	0	34	20	79	11	11	0	1	5	5	0	47	31	1	51	1	22	24	36	0	3	0	1	53	3	24	0	0	44	0	17	0	11	12	4	8	6	0	13	1	15	0	13	26	0	16	0	0	0	28	5	15	9	24	10	0	8	0	14	0	29	11	39	1	1	24	0	0	0	12	0
sq608	0	0	0	0	1	1	0	0	2	13	0	0	32	0	1	19	2	26	0	1	0	0	0	1	9	0	36	1	43	30	1	175	0	3	9	1	47	1	0	7	2	12	0	80	0	0	9	0	10	48	7	0	7	7	0	1	1	8	0	19	1	121	19	60	9	2	4	0	0	0	0	0	15
sq609	2	0	0	0	0	0	0	1	2	5	25	25	2	33	33	0	17	1	0	0	0	3	24	1	5	134	5	36	1	0	5	3	4	2	0	0	22	12	36	6	42	2	91	1	51	6	8	30	5	1	0	27	6	11	60	16	22	2	32	1	21	0	10	0	1	0	3	0	0	0	0	9	0
sq610	1	2	1	20	46	155	51	0	6	0	0	0	2	2	5	4	7	3	11	21	132	2	0	1	0	5	4	0	6	4	2	23	20	1	35	39	19	0	0	0	0	0	0	5	4	1	3	0	0	0	0	0	29	9	0	1	2	5	0	8	3	16	4	115	24	6	6	25	0	0	0	5	2
sq611	0	51	7	13	6	3	2	27	11	3	59	21	5	70	108	1	42	2	30	1	7	0	6	0	1	48	1	27	0	0	8	8	37	2	0	6	6	7	10	2	10	2	28	2	62	8	0	11	0	0	1	18	4	5	7	13	3	0	12	1	10	5	21	3	16	0	5	1	0	0	0	13	4
sq612	2	14	2	3	6	2	0	13	3	2	10	3	6	64	74	2	95	2	4	0	5	0	5	0	1	45	1	40	1	0	68	1	16	0	0	2	14	36	9	0	12	3	34	0	24	56	1	14	1	0	0	12	4	20	7	12	4	0	6	1	23	1	67	2	10	0	0	2	0	0	0	34	1
sq613	5	4	51	0	12	1	2	0	25	10	0	0	36	0	1	6	0	60	3	1	0	7	1	2	23	1	39	1	9	7	0	4	0	5	6	0	75	3	0	55	1	13	0	53	1	0	7	0	12	14	8	1	6	2	4	0	1	56	0	79	1	111	8	13	17	0	19	2	0	0	0	0	16
sq614	0	39	2	12	0	2	0	45	1	0	47	36	2	61	61	1	71	2	18	1	2	0	18	1	1	36	1	29	0	2	11	0	39	1	0	11	2	10	8	0	13	0	26	0	54	12	2	29	0	1	0	24	1	19	6	38	6	0	8	0	17	2	18	1	5	0	0	21	0	0	0	24	0
sq615	0	36	2	3	0	0	1	72	3	0	25	14	5	64	76	1	71	2	5	0	1	1	7	0	0	29	1	12	0	1	30	2	57	0	1	4	3	13	7	0	16	2	10	0	47	11	0	50	1	1	0	50	1	9	8	31	7	0	7	1	11	0	22	0	2	0	2	1	0	1	0	59	1
sq616	0	37	3	32	3	10	1	36	3	2	27	25	0	43	78	0	80	2	27	2	8	0	6	0	1	46	0	22	0	0	12	5	30	0	2	28	1	9	8	0	14	2	18	1	37	14	0	34	0	0	4	29	0	19	6	21	0	0	7	0	13	0	30	3	11	1	2	24	0	0	0	19	0
sq617	0	2	0	3	1	2	0	11	0	5	27	12	6	71	31	6	76	1	6	0	1	2	16	2	1	94	9	39	2	1	69	4	7	0	1	0	13	15	21	0	28	4	38	0	25	32	0	7	0	0	0	3	5	12	31	38	20	2	10	0	23	0	27	1	7	0	3	1	0	0	0	20	4
sq618	1	15	2	31	9	50	4	12	1	0	8	4	5	63	42	3	52	0	30	7	50	0	7	0	1	52	3	25	0	1	45	1	20	0	1	8	3	14	5	1	24	3	22	0	13	32	0	9	2	0	0	5	3	21	17	26	9	0	10	0	16	0	31	3	29	1	2	25	0	0	0	16	0
sq619	1	1	0	0	0	0	0	4	0	5	10	16	19	60	32	2	51	1	1	0	0	9	21	4	0	72	6	24	1	0	22	0	3	0	0	0	6	11	38	0	71	3	26	3	33	17	1	9	0	0	0	3	0	9	87	57	96	0	15	1	13	0	9	0	0	0	2	0	0	0	0	12	2
sq620	0	0	0	0	0	0	0	1	26	2	0	0	54	0	5	59	0	23	0	0	1	0	0	0	27	0	119	0	30	47	0	0	0	3	0	0	15	16	0	2	2	39	0	213	0	0	2	0	0	1	0	0	4	13	0	0	1	3	1	23	28	9	25	0	0	0	35	0	0	0	0	0	59
sq621	0	16	7	0	1	0	0	20	8	3	23	19	9	43	60	6	37	2	3	0	0	0	11	1	10	82	5	63	1	1	18	3	11	1	2	4	20	23	18	0	20	7	41	4	46	17	4	13	3	1	1	44	1	10	24	23	14	0	13	0	17	1	17	1	7	0	4	1	0	0	0	22	0
sq622	19	0	0	0	0	0	0	0	1	49	0	1	30	0	0	5	0	2	0	0	0	38	0	18	36	0	28	0	8	4	0	2	0	35	0	0	45	3	0	212	12	12	0	9	0	0	11	0	2	16	26	8	0	0	9	0	9	80	4	104	1	4	0	1	0	0	24	0	0	0	0	1	10
sq623	1	8	1	8	4	2	0	16	6	8	85	46	0	42	29	2	14	2	1	0	1	0	34	0	4	41	0	7	0	0	5	7	69	5	3	4	1	4	19	1	14	6	29	0	51	4	3	51	1	4	5	104	2	12	13	26	4	0	5	0	5	2	11	1	10	0	2	9	0	0	0	18	2
