X1	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X7	X8	X9
sq741	3	0	0	0	1	13	5	68	6	46	0	0	0	0	0	0	1	44	2	56	0	75	19	0	3	0	0	0	15	0	34	4	33	1	0	6	0	0	0	8	0	15	0	30	47	2	26	0	0	0	0	8	0	2	0	3	0	1	0	0
sq742	24	0	0	0	1	23	0	4	0	7	0	2	0	0	0	11	0	12	0	1	0	1	11	0	2	0	0	0	113	0	3	0	4	1	0	22	0	0	3	321	0	1	0	1	0	0	2	0	0	0	0	2	2	2	0	0	0	0	0	0
sq743	2	0	0	0	15	7	50	28	9	41	4	5	0	0	0	3	34	36	41	26	25	17	9	0	0	0	0	0	13	36	13	38	18	7	1	0	0	0	0	4	0	12	0	35	18	0	19	0	0	0	0	4	0	0	0	5	0	0	1	0
sq744	5	3	47	5	0	12	0	23	0	60	0	1	16	7	15	0	3	38	1	19	0	26	15	0	27	9	4	0	10	0	21	0	14	1	0	4	0	0	0	7	0	7	0	14	5	0	29	6	43	2	16	18	0	1	0	1	0	17	0	23
sq745	4	0	0	0	9	9	23	11	9	13	6	12	0	0	1	6	30	41	50	31	32	5	6	1	0	0	0	11	4	17	16	22	10	19	1	1	1	0	0	2	16	18	36	28	8	35	19	0	0	0	0	0	0	3	0	9	0	0	0	0
sq746	12	1	1	0	1	8	6	60	3	74	1	1	8	1	1	0	5	73	4	28	0	44	33	2	1	1	0	0	21	2	30	1	29	0	0	6	0	0	0	15	0	12	0	14	13	1	33	0	5	1	2	9	0	2	0	0	0	7	0	2
sq747	2	8	8	0	0	1	1	23	0	87	0	0	20	2	9	0	0	31	0	24	1	54	9	2	19	2	4	0	10	0	21	1	20	1	0	11	0	0	2	3	0	8	0	13	17	0	37	3	35	0	22	22	1	1	2	0	0	25	0	12
sq748	56	1	42	14	0	0	1	0	0	10	0	224	1	3	15	0	0	0	6	21	0	0	0	12	5	3	14	1	0	0	0	4	1	0	0	0	11	10	3	0	0	0	7	3	0	0	0	26	22	11	6	0	0	6	6	0	0	0	27	0
sq749	32	0	0	0	2	42	1	12	0	1	0	2	0	0	0	3	0	9	0	7	0	4	30	1	8	0	0	2	99	0	3	0	3	1	0	54	0	0	8	221	0	1	0	0	1	0	5	0	1	0	1	1	0	13	4	0	0	0	0	0
sq750	31	0	0	0	0	40	0	40	0	13	0	1	0	0	0	0	0	43	1	9	0	10	26	3	29	1	2	0	26	1	23	0	3	0	3	68	0	4	69	45	0	10	0	6	4	0	0	0	3	0	3	1	0	50	0	0	0	0	0	0
sq751	0	9	17	1	1	2	1	4	2	28	1	0	8	3	20	1	2	5	5	50	1	54	3	13	56	2	14	0	0	0	11	6	25	0	3	15	0	0	1	0	0	2	0	20	5	1	103	1	9	2	6	29	0	3	0	0	0	7	0	14
sq752	20	0	0	0	3	62	0	41	0	8	0	2	0	0	0	1	1	71	5	32	0	12	27	0	2	0	0	4	35	3	42	0	5	1	3	32	2	0	19	25	0	23	0	13	32	0	5	0	0	0	0	1	0	33	0	0	0	0	0	0
sq753	6	2	0	0	0	4	2	47	0	121	0	0	7	0	0	0	0	43	0	25	2	40	23	1	9	0	1	0	12	0	17	0	34	0	0	9	0	0	3	2	0	16	2	9	19	1	37	0	16	0	6	16	0	0	16	1	0	12	1	2
sq754	10	0	0	0	7	8	6	48	4	57	0	0	0	0	0	0	4	104	6	33	1	27	38	0	2	0	0	3	46	0	35	0	24	1	0	2	0	0	1	40	2	7	0	15	12	0	9	0	1	0	0	6	0	0	0	1	0	0	1	0
sq755	5	1	2	2	0	5	2	61	6	61	1	5	3	0	0	0	1	107	6	24	0	29	29	0	3	0	0	2	26	0	31	0	31	7	0	6	1	0	1	11	1	14	2	12	13	1	12	0	6	0	2	10	0	0	5	1	0	8	1	2
sq756	0	0	0	0	14	0	18	0	2	1	1	13	0	0	0	24	23	0	28	0	1	0	1	2	0	0	0	160	3	10	0	20	0	7	2	0	5	15	2	4	39	0	74	2	0	14	1	2	2	0	0	0	0	0	61	8	0	0	0	0
sq757	9	0	0	0	2	2	0	0	0	2	0	26	0	0	0	215	1	0	0	0	2	2	8	3	0	0	0	13	68	2	0	1	0	4	14	3	0	1	0	155	0	1	0	0	0	0	0	0	0	0	0	0	0	4	19	0	0	0	0	0
sq758	1	1	0	0	1	10	4	51	3	36	1	0	0	0	0	0	1	51	2	65	1	78	24	0	0	0	0	0	16	2	37	0	43	0	0	4	0	0	0	7	0	9	0	23	44	0	33	0	0	0	0	7	0	1	0	1	0	0	0	0
sq759	1	0	0	0	52	4	44	2	7	3	0	25	0	0	0	43	60	17	74	4	5	1	11	1	0	0	0	18	22	49	8	7	1	32	8	0	1	1	0	19	4	10	5	6	0	0	0	0	0	0	0	0	0	1	5	6	0	0	0	0
sq760	13	0	0	0	0	28	2	31	1	23	0	1	0	0	0	0	2	109	3	35	0	20	20	1	5	0	0	1	49	0	60	2	4	2	0	13	0	0	8	49	0	22	2	12	6	0	7	0	0	0	0	1	6	17	0	0	0	0	0	0
sq761	3	0	0	0	4	13	3	42	1	35	0	0	2	0	0	1	6	122	2	55	1	34	28	0	1	0	0	0	23	0	50	1	18	3	0	5	2	0	1	15	0	21	1	31	20	0	5	0	0	0	0	3	0	2	0	0	0	0	0	1
sq762	2	0	0	0	14	1	22	5	5	8	4	18	0	0	0	12	46	9	31	3	5	1	7	4	0	3	0	37	12	45	10	25	3	7	7	0	5	33	2	3	29	3	56	14	3	20	5	0	2	1	0	3	0	2	12	13	0	0	3	0
sq763	1	0	0	0	0	0	8	2	0	0	1	0	0	2	0	2	62	17	6	0	0	0	57	3	0	3	0	0	12	13	4	53	0	244	6	5	2	4	13	0	1	1	4	0	1	4	5	0	6	1	0	0	0	1	3	5	0	0	0	0
sq764	24	2	0	0	5	28	6	47	4	26	1	6	2	0	0	0	4	73	1	22	0	12	44	1	6	0	0	3	60	0	13	0	4	5	1	12	1	0	5	76	0	13	0	8	10	0	2	2	2	0	1	2	0	4	5	3	0	3	0	1
sq765	16	0	0	0	5	23	2	66	3	49	0	3	1	0	0	0	1	82	1	27	0	17	39	1	2	0	0	0	21	0	31	0	11	4	0	14	2	0	16	31	0	9	0	10	15	0	10	1	5	0	2	2	0	14	9	2	0	2	0	1
sq766	4	0	0	0	9	0	0	0	0	0	0	50	0	0	0	288	1	0	0	0	0	1	0	0	0	0	0	20	34	0	0	0	0	5	4	0	2	0	0	101	0	1	0	0	0	0	3	0	0	0	0	0	0	0	27	0	0	0	0	0
sq767	0	12	13	4	0	0	8	8	3	12	4	4	1	2	2	6	11	0	116	16	35	10	0	19	18	4	1	5	0	1	0	18	5	0	0	0	0	0	0	2	16	2	45	7	0	30	16	52	4	11	15	0	0	0	0	6	0	0	0	5
sq768	2	0	0	0	5	6	21	2	6	15	1	0	0	1	0	12	43	5	24	2	0	8	5	0	0	0	0	65	17	33	8	28	0	2	2	4	1	12	2	2	29	6	97	8	2	54	5	1	4	0	1	1	0	0	0	6	0	0	0	0
sq769	3	0	0	0	0	1	4	14	3	45	0	1	2	0	0	0	3	28	6	64	1	99	1	5	15	0	0	0	5	9	21	2	35	0	2	6	0	0	0	2	0	6	0	24	20	0	77	1	6	0	2	27	0	1	0	1	0	2	0	3
sq770	1	2	25	0	3	0	4	0	1	38	6	0	32	0	30	1	0	0	0	4	0	4	6	9	43	3	8	0	0	2	0	2	3	1	1	10	0	0	12	0	0	2	0	1	3	1	41	1	11	0	12	49	0	0	0	1	0	112	5	56
sq771	12	0	0	0	2	34	3	20	0	13	0	0	0	0	0	0	0	58	0	19	0	9	17	5	11	0	1	0	25	1	33	0	2	0	2	57	7	1	51	23	0	22	0	11	21	0	1	0	0	0	0	0	0	82	0	1	0	1	0	0
sq772	6	0	0	0	1	41	6	58	1	83	0	0	0	0	0	1	0	62	1	24	1	41	26	2	6	0	0	1	13	1	17	4	21	1	0	10	0	0	2	9	1	9	0	8	32	0	25	0	1	0	1	6	5	9	1	2	0	4	0	0
sq773	1	82	14	34	7	0	15	0	4	2	11	2	2	34	6	1	4	0	17	0	1	1	0	15	1	35	0	17	2	6	0	3	0	7	4	0	15	55	12	1	8	0	10	1	1	38	2	13	8	14	14	0	0	0	0	3	0	0	15	1
sq774	17	0	0	0	2	28	0	6	0	4	0	0	0	0	0	3	0	14	0	3	0	0	8	1	0	0	0	1	80	0	4	0	3	0	0	7	0	0	1	178	0	4	0	1	0	0	0	0	0	0	0	1	170	1	0	0	0	0	0	0
sq775	21	0	0	0	5	20	9	22	2	22	0	12	0	0	0	9	15	90	19	52	1	17	24	2	0	0	0	0	34	15	44	5	3	3	1	5	0	0	1	19	0	24	0	23	3	0	6	0	0	0	0	3	0	1	0	2	0	0	1	0
sq776	31	0	0	0	4	26	3	27	1	29	1	3	0	0	0	2	1	50	4	12	1	14	21	3	3	0	0	6	86	0	30	0	11	4	1	11	1	0	2	106	0	10	2	7	3	0	5	0	2	0	0	3	0	4	0	1	0	0	0	0
sq777	23	0	0	0	7	43	11	50	1	11	0	1	0	0	0	6	1	103	2	30	0	13	29	0	1	0	0	2	31	4	48	0	9	6	0	1	0	0	2	30	1	13	2	9	9	0	7	0	0	0	0	1	0	2	14	6	0	0	0	0
sq778	8	0	0	0	1	17	0	67	1	39	0	0	0	0	0	0	1	75	2	62	1	36	33	0	1	0	0	0	8	0	34	3	26	0	0	2	0	0	1	3	0	7	1	23	44	0	21	0	0	0	0	7	0	1	0	2	0	1	0	0
sq779	5	4	5	0	0	6	0	41	0	60	1	0	7	1	2	0	2	91	2	19	0	45	30	0	2	0	0	0	17	2	26	1	31	2	0	3	0	0	3	15	0	11	1	16	11	2	28	2	11	0	2	8	1	2	1	1	0	2	0	6
sq780	16	0	0	0	1	18	4	14	0	7	0	0	0	0	0	5	2	40	0	8	1	0	11	8	25	1	0	0	23	1	16	0	1	2	10	83	11	0	41	13	1	7	0	5	2	0	1	0	2	0	2	0	0	145	0	0	0	0	0	0
sq781	4	0	0	0	8	21	8	45	1	18	0	0	0	0	0	7	15	125	6	26	0	11	17	0	1	0	0	0	30	14	43	1	8	4	1	0	0	0	0	28	0	25	0	36	17	0	3	0	0	0	0	1	0	1	0	2	0	0	0	0
sq782	0	0	0	0	0	1	1	27	0	12	0	0	0	0	0	3	1	153	1	74	0	21	4	0	0	0	0	0	4	5	95	0	16	7	1	0	0	0	0	1	0	28	1	51	10	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0
sq783	1	0	0	0	20	0	8	0	2	0	5	11	0	3	0	2	19	0	2	0	0	0	0	14	0	4	0	33	1	7	0	12	0	7	24	0	41	159	17	0	14	4	40	0	0	25	5	14	13	0	0	0	0	0	8	7	0	0	2	0
sq784	0	6	0	0	1	0	12	0	13	0	110	0	5	0	0	0	0	0	1	0	4	0	0	35	0	6	0	0	0	0	0	4	0	4	19	0	10	3	1	0	0	0	0	0	0	17	9	6	18	0	1	0	0	0	0	13	0	0	226	0
sq785	0	0	0	0	10	0	23	1	1	0	2	16	0	0	0	20	27	0	19	0	2	0	0	0	0	0	0	76	8	39	0	8	1	24	3	0	1	6	0	2	27	0	28	2	0	6	3	0	0	0	0	0	0	0	162	7	0	0	0	0
sq786	11	0	6	0	4	9	2	44	7	63	1	0	7	0	0	0	1	75	5	22	1	29	31	1	9	0	0	0	39	0	25	0	18	5	0	4	2	0	5	20	0	9	0	5	15	0	20	0	6	0	0	9	0	3	0	0	0	8	0	1
sq787	0	0	0	0	0	1	3	13	1	76	1	0	3	0	1	0	0	17	5	41	2	115	3	0	17	0	0	0	0	1	12	1	58	0	0	3	0	0	0	2	0	3	0	13	18	0	80	0	1	0	0	18	0	0	0	0	0	8	0	2
sq788	6	1	0	0	1	10	5	33	0	37	0	0	0	0	1	0	0	74	1	22	0	33	25	0	1	0	1	0	21	0	22	0	19	8	0	2	0	0	0	12	1	10	0	13	7	0	18	0	1	0	0	6	124	0	0	0	0	3	0	0
sq789	10	0	0	1	2	15	8	56	0	36	0	0	1	0	0	0	2	107	7	32	0	31	20	0	0	0	0	1	49	0	38	0	16	4	1	3	1	0	3	28	0	14	0	10	14	0	2	0	2	0	0	1	0	1	0	1	0	0	0	0
sq790	0	0	0	0	46	0	15	0	4	0	4	34	0	0	0	34	58	0	45	1	5	0	1	2	0	0	0	39	14	34	0	7	0	26	23	0	9	6	5	21	22	12	20	6	0	1	2	0	0	0	0	0	0	0	18	3	0	0	0	0
sq791	0	0	0	0	15	0	26	0	10	0	8	37	0	0	0	2	42	0	91	2	20	0	0	0	0	0	1	12	7	65	0	63	0	22	1	0	3	0	1	1	6	10	9	25	0	2	11	0	0	0	0	0	0	0	0	24	0	0	0	0
sq792	0	48	40	39	0	0	2	0	4	1	4	2	2	24	11	0	0	0	0	0	6	2	1	17	6	14	6	1	1	0	1	2	0	1	0	0	0	0	0	0	0	0	10	1	0	27	1	115	65	3	19	0	0	0	25	2	0	0	0	10
sq793	3	4	0	2	4	3	16	5	2	8	5	4	0	0	0	0	11	3	0	0	2	0	8	34	12	32	7	0	1	3	3	3	2	8	2	9	31	73	141	0	0	0	0	1	1	0	2	10	23	4	18	0	0	5	0	5	0	0	1	0
sq794	0	28	2	2	0	0	0	0	1	0	3	0	7	7	2	0	5	0	2	1	0	2	0	22	10	56	8	0	0	3	4	7	0	1	6	5	0	0	0	0	0	0	1	4	0	13	32	31	172	9	26	0	0	0	32	3	0	0	2	2
sq795	1	6	24	3	1	2	3	2	0	3	2	1	4	0	14	1	1	1	0	5	1	5	0	4	22	38	83	2	0	1	2	0	3	2	4	13	11	0	85	0	0	1	0	0	1	0	6	2	5	0	59	7	0	52	0	2	0	13	4	8
sq796	14	0	0	0	0	20	2	67	0	66	0	0	0	0	0	0	1	79	2	20	0	36	40	0	0	0	0	0	26	0	21	0	11	4	0	1	0	0	0	29	0	11	1	21	22	0	9	0	0	0	0	4	0	0	2	0	0	0	0	0
sq797	2	0	0	0	9	0	1	0	0	0	0	19	0	0	0	243	4	0	0	0	0	0	0	0	0	0	0	72	39	4	0	2	0	1	13	0	2	0	0	56	0	0	0	0	0	2	1	0	0	0	0	0	0	0	38	1	0	0	0	0
sq798	30	0	0	0	5	9	0	0	0	0	0	20	0	0	0	29	0	1	0	0	0	0	13	0	0	0	0	0	92	0	1	1	1	4	3	13	1	0	1	225	0	1	0	0	1	0	2	0	0	0	0	0	51	3	0	0	0	0	0	0
sq799	0	1	0	0	0	0	0	1	0	0	1	0	1	0	2	0	2	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	269	0	13	0	204	0	0	2
sq800	17	0	1	0	0	11	1	45	1	34	0	0	0	0	0	2	0	50	2	11	1	18	20	2	5	0	0	3	42	0	13	1	16	2	0	5	1	1	2	87	0	9	1	5	8	1	11	0	2	0	1	3	58	2	0	0	0	7	1	0
sq801	16	0	0	0	1	65	0	34	0	8	0	0	1	0	0	0	0	88	0	27	0	0	9	1	0	0	0	2	15	0	32	0	3	0	0	11	0	0	4	6	1	8	0	7	6	0	5	0	0	0	0	2	146	5	0	0	0	0	0	0
sq802	3	0	0	0	47	4	56	4	7	2	3	27	0	0	0	8	62	2	25	1	2	0	10	19	0	0	0	2	9	24	4	4	2	26	27	1	42	10	34	2	3	10	3	2	1	0	2	1	1	0	0	1	0	1	0	7	0	0	0	1
sq803	4	0	0	0	0	3	0	0	0	2	0	0	0	0	0	1	2	10	0	6	1	3	5	0	0	0	0	0	12	0	3	0	0	0	0	0	0	0	0	13	0	0	0	2	1	0	1	0	0	0	0	0	431	0	0	0	0	0	0	0
sq804	3	0	0	0	1	10	5	55	6	48	2	0	5	0	0	0	1	61	5	58	1	27	6	1	6	0	0	1	15	0	59	4	28	4	1	4	0	0	3	3	1	10	2	12	7	1	20	0	0	0	0	13	0	1	0	1	0	5	3	0
sq805	32	0	0	0	2	22	0	5	0	3	0	5	0	0	0	9	0	4	0	2	0	0	5	0	0	0	0	3	42	0	6	0	0	1	1	6	0	0	1	92	0	3	0	2	0	0	0	0	0	0	0	1	249	1	1	0	0	0	0	0
sq806	11	0	0	0	1	22	1	39	0	14	0	0	0	0	0	3	4	118	4	28	0	8	15	0	4	0	0	0	40	4	70	0	6	0	1	17	0	0	7	18	2	30	0	12	4	0	1	0	0	0	0	3	0	11	0	0	0	0	0	0
sq807	1	0	1	0	4	0	6	8	10	12	9	0	8	0	1	2	8	3	5	7	2	1	1	46	6	36	12	3	1	2	5	12	0	2	17	12	20	0	44	3	1	2	1	4	0	0	14	0	34	0	16	17	0	17	0	3	0	10	69	0
sq808	0	19	59	4	1	0	0	3	0	4	1	0	39	10	87	0	0	0	0	0	1	3	0	9	38	3	12	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	13	1	15	0	41	9	0	0	0	0	0	16	1	104
sq809	10	0	0	0	1	29	0	43	0	55	0	0	2	0	0	0	0	62	0	25	0	10	15	0	12	0	2	1	9	0	18	0	19	0	0	17	1	0	40	10	0	5	0	10	31	0	9	0	1	0	0	8	0	47	0	0	0	3	0	0
sq810	6	1	5	0	4	10	2	59	2	46	1	2	3	3	2	0	1	61	1	33	0	36	20	0	5	1	0	0	25	0	23	1	27	3	1	4	0	0	7	9	0	14	0	13	14	0	26	0	3	0	0	11	0	1	0	0	0	5	0	3
sq811	24	0	1	0	2	40	2	25	1	15	0	1	1	0	0	0	0	26	0	7	0	5	26	5	30	0	1	0	20	0	13	0	5	1	3	91	1	0	59	18	0	2	0	5	1	0	5	0	0	0	3	3	17	33	0	0	0	0	0	1
sq812	0	4	1	1	2	0	28	7	20	8	8	1	0	0	0	3	9	4	20	5	3	0	0	0	0	0	0	4	0	3	0	29	0	9	0	0	0	0	0	0	13	0	235	12	0	23	1	13	0	0	0	0	0	0	12	14	0	0	0	0
sq813	0	0	0	0	8	0	20	0	2	0	2	11	0	0	0	13	41	0	20	0	4	0	0	0	0	0	0	124	3	32	0	17	0	15	1	0	1	1	0	1	46	4	76	4	0	11	0	0	0	0	0	0	0	0	26	9	0	0	0	0
sq814	2	11	21	1	11	7	14	18	3	34	4	2	5	2	10	1	1	9	9	6	1	8	14	4	15	11	19	0	3	3	2	3	3	2	1	15	5	0	53	2	0	2	0	2	11	1	10	0	5	0	31	16	1	15	0	5	0	25	8	24
sq815	9	2	3	0	3	11	5	41	4	44	1	1	3	0	0	1	1	76	5	23	2	22	18	1	2	0	0	2	34	2	23	0	19	1	1	13	0	0	7	23	0	8	0	9	8	0	13	1	3	0	1	6	0	8	22	0	0	4	0	4
sq816	4	8	5	1	0	0	0	21	4	79	2	0	16	4	2	0	0	32	2	32	0	44	12	3	8	0	0	0	10	2	16	1	34	0	0	2	0	0	0	1	0	4	0	7	9	1	27	5	24	1	10	19	0	0	0	0	0	16	0	20
sq817	0	1	1	1	11	2	23	2	5	1	5	11	0	1	0	6	28	11	41	9	19	3	4	3	0	1	0	17	3	16	3	22	0	22	0	0	0	0	0	3	11	7	121	10	0	32	4	1	2	1	0	1	0	0	17	5	0	0	1	0
sq818	10	0	0	0	0	16	0	36	1	25	0	3	0	0	0	2	0	88	3	25	2	14	27	1	0	0	0	0	56	3	26	0	1	1	0	10	0	0	3	82	0	22	0	7	3	0	2	0	0	0	0	1	0	17	0	0	0	0	0	0
sq819	2	0	0	0	44	2	22	1	1	1	0	18	0	0	0	140	19	0	3	1	0	0	0	0	0	0	0	15	53	11	0	2	0	9	13	0	4	5	2	59	0	4	2	4	0	1	4	1	0	0	0	0	0	0	41	3	0	0	0	0
sq820	8	0	0	0	3	22	18	32	0	17	0	1	0	0	0	0	7	79	8	16	0	11	14	3	12	2	1	1	24	5	31	1	9	4	0	20	1	0	26	17	0	12	1	20	15	0	8	0	1	0	2	3	0	27	0	4	0	0	0	0
sq821	3	0	0	0	2	13	11	46	5	44	0	2	1	0	0	0	5	86	8	28	3	28	20	0	1	0	0	1	32	0	32	1	18	2	0	1	0	0	0	19	0	20	0	6	18	1	14	0	1	0	0	5	0	0	0	0	0	6	0	2
sq822	0	0	0	0	0	1	4	2	19	13	136	0	7	0	1	0	0	0	28	11	30	6	0	9	0	0	0	0	0	0	0	114	13	1	18	3	1	0	0	0	0	0	0	3	3	0	9	0	1	0	0	15	0	1	0	12	0	6	16	0
sq823	10	0	0	0	1	7	2	36	1	35	0	0	1	0	0	0	1	111	1	42	0	21	17	0	2	0	0	0	12	0	67	1	12	0	0	3	0	0	0	16	1	17	0	41	13	0	3	0	0	0	0	6	0	1	0	1	0	0	0	0
sq824	1	0	0	0	6	0	3	1	0	0	0	10	0	0	0	24	5	0	0	0	0	0	0	0	0	0	0	115	3	1	0	1	0	3	1	0	2	3	1	2	8	0	6	0	0	1	0	0	0	0	0	0	0	0	284	0	0	0	0	0
sq825	1	0	0	0	16	0	20	0	1	0	1	5	0	0	0	96	34	0	6	0	0	0	0	1	0	0	0	69	30	12	0	2	0	4	27	0	4	4	3	22	7	2	9	0	0	2	1	0	0	0	0	0	0	0	97	4	0	0	0	0
sq826	9	0	0	0	1	36	0	20	0	14	0	4	1	0	0	9	1	54	0	17	0	6	14	0	2	0	0	0	55	1	42	0	6	3	2	41	3	0	14	73	0	5	0	8	8	0	1	0	0	0	0	1	0	28	0	0	0	0	0	0
sq827	8	0	0	0	0	15	0	2	0	1	0	0	0	0	0	11	0	5	0	0	0	0	15	0	3	0	0	1	112	0	1	0	0	1	0	17	0	0	2	223	0	0	0	0	0	0	0	0	0	0	0	0	58	1	3	0	0	0	0	0
sq828	0	2	0	1	18	0	26	1	4	1	4	3	0	0	0	20	89	0	59	2	9	0	0	1	0	4	1	23	8	18	2	23	0	10	8	1	2	16	8	5	11	10	54	11	0	7	3	1	2	2	0	0	0	0	4	4	0	0	1	0
sq829	12	0	0	0	1	36	0	24	0	18	0	0	0	0	0	0	0	67	1	14	0	8	17	0	8	0	0	0	27	0	16	0	6	1	1	19	0	0	5	57	0	11	1	7	2	1	2	0	1	0	0	2	105	8	0	0	0	0	0	0
sq830	4	2	35	4	1	0	2	32	2	41	1	1	19	3	15	0	0	51	1	13	1	32	18	1	9	5	5	0	3	1	12	0	24	2	0	8	1	0	7	4	0	6	3	7	9	0	14	0	19	2	12	12	0	3	1	0	0	12	0	18
sq831	0	0	0	0	11	0	26	0	2	0	1	6	0	0	0	40	64	2	15	1	0	0	2	0	0	0	0	126	17	39	0	12	0	7	0	0	0	0	0	11	19	7	36	6	0	5	1	1	0	0	0	0	0	0	16	3	0	0	0	0
sq832	4	0	0	0	1	3	16	3	7	14	10	3	0	0	0	1	13	9	14	7	3	0	7	22	11	6	6	0	3	6	5	14	3	5	13	21	20	0	79	0	1	3	1	3	6	0	5	1	15	0	0	4	0	25	0	14	0	15	52	0
sq833	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	346	0	13	0	0	0	0	0
sq834	10	0	0	0	12	29	9	26	1	12	1	4	0	0	0	12	39	75	26	29	1	4	8	1	0	0	0	2	21	12	27	4	4	10	1	1	0	0	0	24	1	12	0	18	12	0	3	0	0	0	0	2	16	2	0	2	0	0	0	0
sq835	17	0	1	0	1	29	1	42	0	63	0	0	0	0	0	0	0	46	2	23	0	29	28	0	5	0	0	1	9	0	17	2	21	1	0	9	0	0	1	5	0	5	1	19	18	0	12	0	0	0	1	20	9	30	1	1	0	1	0	0
sq836	17	0	3	0	5	11	4	42	0	36	2	2	2	2	0	5	1	51	0	18	0	23	14	1	5	0	0	0	43	0	15	2	13	2	0	7	3	0	21	57	0	7	0	9	14	0	8	0	3	0	2	1	6	10	0	1	0	1	0	2
sq837	6	1	0	0	0	10	3	39	2	31	0	3	4	1	0	0	0	56	1	22	0	23	22	4	8	0	3	0	31	0	21	0	15	4	3	12	3	1	28	27	0	6	1	10	15	0	14	1	7	1	1	9	0	14	0	1	0	4	0	2
sq838	5	6	47	6	1	8	0	34	2	44	1	0	8	6	16	0	1	26	0	17	0	19	20	0	13	0	1	0	10	0	9	0	15	0	0	12	0	0	2	8	0	8	1	5	14	0	17	1	26	1	13	15	0	7	0	0	0	9	1	14
sq839	9	0	0	0	5	9	2	1	0	0	0	8	0	0	0	105	3	1	0	0	0	0	6	0	0	0	0	4	52	0	0	0	0	10	3	1	0	0	0	94	0	1	0	0	1	0	0	0	0	0	0	0	152	0	1	0	0	0	0	0
sq840	0	0	0	0	20	0	6	0	2	0	0	16	0	0	0	17	15	0	25	0	1	0	0	0	0	0	0	136	6	31	0	2	0	19	1	0	1	1	0	4	29	3	41	0	0	3	0	0	0	0	0	0	0	0	86	1	0	0	0	0
sq841	10	0	0	0	3	29	3	52	0	78	0	3	0	0	0	0	0	44	0	16	1	22	21	0	7	0	0	3	16	2	18	1	21	1	0	9	0	0	4	3	0	5	0	16	23	0	23	0	0	0	0	13	3	13	0	0	0	2	0	0
sq842	0	22	36	17	1	0	4	1	4	0	3	3	3	65	24	0	4	2	14	4	4	0	1	24	11	53	26	2	0	0	1	8	2	1	9	9	10	3	12	0	1	1	3	2	0	5	3	3	13	0	38	0	0	3	0	2	0	2	5	1
sq843	3	0	0	0	1	25	2	43	0	37	0	0	0	0	0	0	4	113	2	34	0	20	25	1	0	0	0	0	25	0	36	0	10	0	0	4	0	0	4	14	1	10	0	29	7	0	6	0	0	0	0	3	3	1	0	0	0	0	0	0
sq844	0	0	0	0	13	0	6	0	0	0	1	19	0	0	0	20	17	0	17	0	2	0	0	0	0	0	0	135	6	16	0	7	0	8	2	0	0	2	0	3	25	0	36	1	0	2	1	0	0	0	0	0	0	0	124	0	0	0	0	0
sq845	6	0	0	0	3	35	2	40	0	10	0	0	0	0	0	1	2	84	1	32	0	19	22	0	3	0	0	0	20	8	41	1	13	4	2	12	1	0	3	25	0	11	0	33	12	0	6	0	0	1	0	2	0	6	0	1	0	0	0	0
sq846	5	5	58	2	0	1	0	9	2	9	0	0	4	3	12	0	0	1	0	0	1	1	3	0	7	19	45	0	4	0	0	0	0	0	0	12	0	0	99	0	0	0	0	0	2	0	1	1	22	2	84	7	0	15	0	0	0	12	1	13
sq847	9	0	0	0	14	3	9	1	1	0	0	8	0	0	0	39	3	8	8	3	0	0	4	3	2	0	1	30	23	4	0	1	0	0	14	3	10	4	5	28	4	1	3	1	1	1	1	0	0	1	0	0	105	4	100	0	0	0	0	0
sq848	7	0	0	0	4	31	4	18	0	18	0	3	0	0	0	6	3	47	2	39	1	25	24	0	5	0	0	0	38	0	30	1	15	0	1	15	0	0	1	69	0	9	0	22	11	0	4	0	0	0	0	2	0	4	0	1	0	0	0	0
sq849	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	3	3	2	0	0	0	0	0	0	0	3	1	5	0	2	1	3	0	0	0	0	0	15	1	0	4	0	5	1	0	5	1	3	2	1	0	0	348	4	44	0	0	0	0	0
sq850	10	0	0	0	1	4	6	38	2	30	0	0	1	0	0	3	3	62	3	24	1	27	26	0	0	0	0	0	66	4	23	0	15	6	1	2	0	0	0	61	0	17	2	7	5	0	5	0	0	0	0	2	0	1	0	1	0	0	0	0
sq851	0	40	58	29	0	1	1	1	2	3	0	0	2	77	51	0	0	0	0	1	0	1	1	8	3	18	7	0	0	0	1	0	0	0	2	7	0	2	3	0	0	0	0	0	0	0	2	5	36	0	58	11	0	0	3	0	0	10	3	11
