X1	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X7	X8	X9
sq22	67	4210	3579	2759	77	131	213	287	111	804	388	25	575	6313	3963	36	179	278	135	201	49	192	171	965	549	1154	442	2	110	123	173	225	190	69	315	370	53	16	153	48	5	108	22	157	225	40	829	402	4624	191	3976	878	845	131	75	116	0	487	392	1100
sq23	903	1	2	2	72	2219	223	3983	50	2601	13	75	19	0	0	92	248	7743	235	2968	52	2456	2115	33	401	7	23	94	2214	170	3210	48	1166	88	30	949	53	7	672	1675	31	1425	50	1995	1085	8	885	4	28	0	23	297	697	639	73	55	0	32	2	3
sq24	48	565	23	40	588	149	1210	180	521	566	2443	244	244	25	34	18	201	54	495	79	226	41	230	7669	2117	4067	517	39	76	134	44	449	114	499	1797	423	2878	416	3178	21	22	60	29	101	110	114	771	298	1181	18	1301	427	0	727	1	714	0	623	4939	60
sq25	0	12726	2369	2412	18	2	46	3	7	5	423	16	177	4560	454	9	12	2	23	0	40	3	0	2262	20	8084	354	2	2	3	3	53	0	21	511	2	299	99	288	0	1	0	4	3	0	31	87	682	1754	436	2618	4	0	1	12	10	0	9	1166	1384
sq26	266	479	1584	135	26	377	100	2092	113	4660	79	13	1452	259	779	6	34	2319	82	1309	38	2398	1000	119	1272	245	521	8	636	19	1061	19	1666	60	27	735	33	15	901	318	10	433	32	552	655	44	1706	254	2432	40	1772	1432	400	462	203	28	0	1520	44	1663
sq27	572	0	1	4	550	1582	1793	4277	886	2739	528	579	13	0	5	145	1110	3247	875	1181	216	239	1365	261	254	6	8	73	942	1119	2094	601	488	1682	261	794	392	1	385	270	25	965	27	930	2498	12	324	1	0	1	1	610	0	991	7	1587	0	305	392	0
sq28	429	802	882	296	176	1255	262	1049	106	1230	123	61	415	442	799	14	180	1303	225	843	99	521	835	1573	3265	1494	2301	44	388	97	897	213	699	100	312	2050	226	280	2967	106	23	303	69	318	522	294	1070	941	1528	509	1342	676	183	1601	41	96	0	529	165	493
sq29	17	3256	1029	2273	61	62	302	136	177	252	679	26	293	1596	247	7	78	41	281	129	127	78	54	1210	743	4177	462	97	26	46	42	292	84	137	226	320	178	872	398	1	61	31	308	42	87	1434	503	2348	5745	1204	4433	198	350	44	54	166	0	171	1222	267
sq30	241	574	1540	252	62	479	150	730	83	1508	95	11	1208	424	1077	5	39	370	78	398	29	217	350	445	1561	1401	3828	16	148	41	208	142	541	30	168	1017	74	122	2848	32	6	139	16	267	364	52	1011	251	2853	258	4326	1307	265	810	21	77	0	1291	154	1283
sq31	51	1005	40	189	125	137	856	273	322	494	843	77	59	243	8	32	332	100	654	132	220	73	176	7014	513	4119	232	151	62	240	109	2628	221	368	2385	183	954	857	133	20	69	59	294	126	236	1472	677	2838	1441	50	339	167	7	110	263	818	0	13	435	5
sq32	122	452	1268	145	9	165	90	1473	85	4176	74	5	1472	221	574	7	19	1813	100	1599	53	2109	685	146	1135	172	335	7	318	19	876	48	1646	31	20	561	9	8	287	111	10	272	62	448	497	100	1656	275	2833	18	1825	1201	217	172	283	30	0	1621	75	1883
sq33	486	0	2	0	86	1253	143	2895	15	1759	13	102	9	2	1	169	207	7812	155	2938	12	1638	1489	9	57	1	1	131	1736	146	3439	25	833	89	25	228	39	5	40	1257	26	1176	33	1853	917	10	509	1	11	0	2	220	362	74	76	33	0	27	6	1
sq34	84	610	3887	345	8	171	28	460	21	946	60	6	1579	557	1962	4	9	213	15	353	8	263	193	121	1659	424	1962	8	68	14	161	18	166	12	25	562	57	63	1635	29	5	61	18	124	302	44	967	554	1345	306	3084	1748	794	568	72	6	0	2759	133	2463
sq35	55	1291	2536	615	28	168	76	619	37	1245	108	6	946	1250	1672	4	32	452	84	619	50	628	243	553	2235	701	762	8	104	23	278	117	798	28	118	1071	51	34	468	35	8	120	26	216	225	114	1222	492	2297	189	3500	919	240	395	232	40	0	765	177	2140
sq36	0	1272	22	215	47	4	1085	1	599	0	2504	21	94	143	33	6	87	1	1580	0	1237	0	0	1062	1	221	5	33	4	115	1	6376	0	311	421	6	25	38	13	0	47	8	569	57	2	4666	1649	2437	2237	254	77	0	160	1	56	1882	0	0	703	4
sq37	230	331	172	66	47	398	159	1697	163	4647	48	12	2048	48	142	6	58	672	146	603	67	829	490	333	1555	252	421	31	450	52	536	88	1322	56	59	841	50	71	1208	66	22	350	149	524	473	166	2057	294	1957	65	767	921	6	434	40	57	0	1488	117	856
sq38	63	3	1	0	277	315	697	738	561	891	4476	174	187	2	54	52	262	740	705	455	456	195	301	1589	992	21	28	33	211	338	376	726	179	520	1348	446	1670	7	559	87	19	207	9	447	454	20	841	1	27	0	0	1265	0	1362	11	411	0	1021	4295	10
sq39	168	49	177	7	12	552	59	2461	50	3662	39	8	633	20	247	0	50	2897	99	2206	52	1667	869	33	977	12	43	15	462	54	1726	99	1496	31	13	765	6	6	115	172	13	602	46	1216	1245	45	1728	34	325	5	255	1188	250	194	28	30	0	613	32	854
sq40	544	40	34	3	159	1416	281	2796	104	2749	58	32	331	11	12	27	203	2526	251	1606	54	776	1172	268	1123	181	210	22	691	109	1940	114	828	117	93	1071	70	78	1673	197	10	584	57	781	826	30	1012	52	442	2	241	618	461	772	14	69	0	485	89	118
